timestamp,building,floor,room,equipment,power_kw,energy_kwh,hour,day_of_week,is_weekend
2026-09-03 12:26:48,Main Block,Ground,Lab 101,AC,4.688,4.688,12,3,0
2026-09-03 12:26:48,Main Block,Ground,Lab 101,Computers,1.865,1.865,12,3,0
2026-09-03 12:26:48,Main Block,Ground,Lab 101,Lights,0.321,0.321,12,3,0
2026-09-03 12:26:48,Main Block,Ground,Lab 101,Fans,0.218,0.218,12,3,0
2026-09-03 12:26:48,Main Block,Ground,Lab 101,Server Units,4.297,4.297,12,3,0
2026-09-03 12:26:48,Main Block,First,Computer Lab 201,AC,4.12,4.12,12,3,0
2026-09-03 12:26:48,Main Block,First,Computer Lab 201,Computers,1.716,1.716,12,3,0
2026-09-03 12:26:48,Main Block,First,Computer Lab 201,Lights,0.313,0.313,12,3,0
2026-09-03 12:26:48,Main Block,First,Computer Lab 201,Fans,0.179,0.179,12,3,0
2026-09-03 12:26:48,Main Block,First,Computer Lab 201,Server Units,14.425,14.425,12,3,0
2026-09-03 12:26:48,Research Wing,Ground,AI Research Lab,AC,4.913,4.913,12,3,0
2026-09-03 12:26:48,Research Wing,Ground,AI Research Lab,Computers,1.904,1.904,12,3,0
2026-09-03 12:26:48,Research Wing,Ground,AI Research Lab,Lights,0.341,0.341,12,3,0
2026-09-03 12:26:48,Research Wing,Ground,AI Research Lab,Fans,0.171,0.171,12,3,0
2026-09-03 12:26:48,Research Wing,Ground,AI Research Lab,Server Units,4.859,4.859,12,3,0
2026-09-03 12:26:48,Research Wing,Ground,Server Room,AC,4.915,4.915,12,3,0
2026-09-03 12:26:48,Research Wing,Ground,Server Room,Computers,2.022,2.022,12,3,0
2026-09-03 12:26:48,Research Wing,Ground,Server Room,Lights,0.289,0.289,12,3,0
2026-09-03 12:26:48,Research Wing,Ground,Server Room,Fans,0.214,0.214,12,3,0
2026-09-03 12:26:48,Research Wing,Ground,Server Room,Server Units,4.877,4.877,12,3,0
