timestamp,building,floor,room,equipment,power_kw,energy_kwh
2026-09-03 12:26:48,Main Block,Ground,Lab 101,AC,4.688,4.688
2026-09-03 12:26:48,Main Block,Ground,Lab 101,Computers,1.865,1.865
2026-09-03 12:26:48,Main Block,Ground,Lab 101,Lights,0.321,0.321
2026-09-03 12:26:48,Main Block,Ground,Lab 101,Fans,0.218,0.218
2026-09-03 12:26:48,Main Block,Ground,Lab 101,Server Units,4.297,4.297
2026-09-03 12:26:48,Main Block,First,Computer Lab 201,AC,4.12,4.12
2026-09-03 12:26:48,Main Block,First,Computer Lab 201,Computers,1.716,1.716
2026-09-03 12:26:48,Main Block,First,Computer Lab 201,Lights,0.313,0.313
2026-09-03 12:26:48,Main Block,First,Computer Lab 201,Fans,0.179,0.179
2026-09-03 12:26:48,Main Block,First,Computer Lab 201,Server Units,14.425,14.425
2026-09-03 12:26:48,Research Wing,Ground,AI Research Lab,AC,4.913,4.913
2026-09-03 12:26:48,Research Wing,Ground,AI Research Lab,Computers,1.904,1.904
2026-09-03 12:26:48,Research Wing,Ground,AI Research Lab,Lights,0.341,0.341
2026-09-03 12:26:48,Research Wing,Ground,AI Research Lab,Fans,0.171,0.171
2026-09-03 12:26:48,Research Wing,Ground,AI Research Lab,Server Units,4.859,4.859
2026-09-03 12:26:48,Research Wing,Ground,Server Room,AC,4.915,4.915
2026-09-03 12:26:48,Research Wing,Ground,Server Room,Computers,2.022,2.022
2026-09-03 12:26:48,Research Wing,Ground,Server Room,Lights,0.289,0.289
2026-09-03 12:26:48,Research Wing,Ground,Server Room,Fans,0.214,0.214
2026-09-03 12:26:48,Research Wing,Ground,Server Room,Server Units,4.877,4.877
2026-09-03 13:26:48,Main Block,Ground,Lab 101,AC,4.776,4.776
2026-09-03 13:26:48,Main Block,Ground,Lab 101,Computers,1.837,1.837
2026-09-03 13:26:48,Main Block,Ground,Lab 101,Lights,0.262,0.262
2026-09-03 13:26:48,Main Block,Ground,Lab 101,Fans,0.172,0.172
2026-09-03 13:26:48,Main Block,Ground,Lab 101,Server Units,4.579,4.579
2026-09-03 13:26:48,Main Block,First,Computer Lab 201,AC,4.325,4.325
2026-09-03 13:26:48,Main Block,First,Computer Lab 201,Computers,1.86,1.86
2026-09-03 13:26:48,Main Block,First,Computer Lab 201,Lights,0.313,0.313
2026-09-03 13:26:48,Main Block,First,Computer Lab 201,Fans,0.176,0.176
2026-09-03 13:26:48,Main Block,First,Computer Lab 201,Server Units,3.956,3.956
2026-09-03 13:26:48,Research Wing,Ground,AI Research Lab,AC,5.161,5.161
2026-09-03 13:26:48,Research Wing,Ground,AI Research Lab,Computers,2.034,2.034
2026-09-03 13:26:48,Research Wing,Ground,AI Research Lab,Lights,0.331,0.331
2026-09-03 13:26:48,Research Wing,Ground,AI Research Lab,Fans,0.179,0.179
2026-09-03 13:26:48,Research Wing,Ground,AI Research Lab,Server Units,4.156,4.156
2026-09-03 13:26:48,Research Wing,Ground,Server Room,AC,4.11,4.11
2026-09-03 13:26:48,Research Wing,Ground,Server Room,Computers,2.226,2.226
2026-09-03 13:26:48,Research Wing,Ground,Server Room,Lights,0.314,0.314
2026-09-03 13:26:48,Research Wing,Ground,Server Room,Fans,0.219,0.219
2026-09-03 13:26:48,Research Wing,Ground,Server Room,Server Units,4.09,4.09
2026-09-03 14:26:48,Main Block,Ground,Lab 101,AC,4.583,4.583
2026-09-03 14:26:48,Main Block,Ground,Lab 101,Computers,2.051,2.051
2026-09-03 14:26:48,Main Block,Ground,Lab 101,Lights,0.291,0.291
2026-09-03 14:26:48,Main Block,Ground,Lab 101,Fans,0.224,0.224
2026-09-03 14:26:48,Main Block,Ground,Lab 101,Server Units,3.86,3.86
2026-09-03 14:26:48,Main Block,First,Computer Lab 201,AC,3.973,3.973
2026-09-03 14:26:48,Main Block,First,Computer Lab 201,Computers,2.175,2.175
2026-09-03 14:26:48,Main Block,First,Computer Lab 201,Lights,0.261,0.261
2026-09-03 14:26:48,Main Block,First,Computer Lab 201,Fans,0.224,0.224
2026-09-03 14:26:48,Main Block,First,Computer Lab 201,Server Units,5.022,5.022
2026-09-03 14:26:48,Research Wing,Ground,AI Research Lab,AC,3.84,3.84
2026-09-03 14:26:48,Research Wing,Ground,AI Research Lab,Computers,2.109,2.109
2026-09-03 14:26:48,Research Wing,Ground,AI Research Lab,Lights,0.279,0.279
2026-09-03 14:26:48,Research Wing,Ground,AI Research Lab,Fans,0.172,0.172
2026-09-03 14:26:48,Research Wing,Ground,AI Research Lab,Server Units,4.339,4.339
2026-09-03 14:26:48,Research Wing,Ground,Server Room,AC,5.007,5.007
2026-09-03 14:26:48,Research Wing,Ground,Server Room,Computers,2.0,2.0
2026-09-03 14:26:48,Research Wing,Ground,Server Room,Lights,0.337,0.337
2026-09-03 14:26:48,Research Wing,Ground,Server Room,Fans,0.183,0.183
2026-09-03 14:26:48,Research Wing,Ground,Server Room,Server Units,4.544,4.544
2026-09-03 15:26:48,Main Block,Ground,Lab 101,AC,4.854,4.854
2026-09-03 15:26:48,Main Block,Ground,Lab 101,Computers,2.167,2.167
2026-09-03 15:26:48,Main Block,Ground,Lab 101,Lights,0.255,0.255
2026-09-03 15:26:48,Main Block,Ground,Lab 101,Fans,0.167,0.167
2026-09-03 15:26:48,Main Block,Ground,Lab 101,Server Units,4.9,4.9
2026-09-03 15:26:48,Main Block,First,Computer Lab 201,AC,4.24,4.24
2026-09-03 15:26:48,Main Block,First,Computer Lab 201,Computers,2.227,2.227
2026-09-03 15:26:48,Main Block,First,Computer Lab 201,Lights,0.263,0.263
2026-09-03 15:26:48,Main Block,First,Computer Lab 201,Fans,0.17,0.17
2026-09-03 15:26:48,Main Block,First,Computer Lab 201,Server Units,4.751,4.751
2026-09-03 15:26:48,Research Wing,Ground,AI Research Lab,AC,4.467,4.467
2026-09-03 15:26:48,Research Wing,Ground,AI Research Lab,Computers,1.859,1.859
2026-09-03 15:26:48,Research Wing,Ground,AI Research Lab,Lights,0.293,0.293
2026-09-03 15:26:48,Research Wing,Ground,AI Research Lab,Fans,0.197,0.197
2026-09-03 15:26:48,Research Wing,Ground,AI Research Lab,Server Units,4.006,4.006
2026-09-03 15:26:48,Research Wing,Ground,Server Room,AC,5.168,5.168
2026-09-03 15:26:48,Research Wing,Ground,Server Room,Computers,1.963,1.963
2026-09-03 15:26:48,Research Wing,Ground,Server Room,Lights,0.266,0.266
2026-09-03 15:26:48,Research Wing,Ground,Server Room,Fans,0.186,0.186
2026-09-03 15:26:48,Research Wing,Ground,Server Room,Server Units,4.044,4.044
2026-09-03 16:26:48,Main Block,Ground,Lab 101,AC,3.921,3.921
2026-09-03 16:26:48,Main Block,Ground,Lab 101,Computers,1.837,1.837
2026-09-03 16:26:48,Main Block,Ground,Lab 101,Lights,0.332,0.332
2026-09-03 16:26:48,Main Block,Ground,Lab 101,Fans,0.18,0.18
2026-09-03 16:26:48,Main Block,Ground,Lab 101,Server Units,4.023,4.023
2026-09-03 16:26:48,Main Block,First,Computer Lab 201,AC,5.088,5.088
2026-09-03 16:26:48,Main Block,First,Computer Lab 201,Computers,1.984,1.984
2026-09-03 16:26:48,Main Block,First,Computer Lab 201,Lights,0.328,0.328
2026-09-03 16:26:48,Main Block,First,Computer Lab 201,Fans,0.171,0.171
2026-09-03 16:26:48,Main Block,First,Computer Lab 201,Server Units,4.299,4.299
2026-09-03 16:26:48,Research Wing,Ground,AI Research Lab,AC,4.809,4.809
2026-09-03 16:26:48,Research Wing,Ground,AI Research Lab,Computers,2.29,2.29
2026-09-03 16:26:48,Research Wing,Ground,AI Research Lab,Lights,0.291,0.291
2026-09-03 16:26:48,Research Wing,Ground,AI Research Lab,Fans,0.216,0.216
2026-09-03 16:26:48,Research Wing,Ground,AI Research Lab,Server Units,3.991,3.991
2026-09-03 16:26:48,Research Wing,Ground,Server Room,AC,4.395,4.395
2026-09-03 16:26:48,Research Wing,Ground,Server Room,Computers,1.85,1.85
2026-09-03 16:26:48,Research Wing,Ground,Server Room,Lights,0.295,0.295
2026-09-03 16:26:48,Research Wing,Ground,Server Room,Fans,0.198,0.198
2026-09-03 16:26:48,Research Wing,Ground,Server Room,Server Units,5.059,5.059
2026-09-03 17:26:48,Main Block,Ground,Lab 101,AC,5.133,5.133
2026-09-03 17:26:48,Main Block,Ground,Lab 101,Computers,2.209,2.209
2026-09-03 17:26:48,Main Block,Ground,Lab 101,Lights,0.299,0.299
2026-09-03 17:26:48,Main Block,Ground,Lab 101,Fans,0.189,0.189
2026-09-03 17:26:48,Main Block,Ground,Lab 101,Server Units,4.24,4.24
2026-09-03 17:26:48,Main Block,First,Computer Lab 201,AC,4.183,4.183
2026-09-03 17:26:48,Main Block,First,Computer Lab 201,Computers,1.973,1.973
2026-09-03 17:26:48,Main Block,First,Computer Lab 201,Lights,0.341,0.341
2026-09-03 17:26:48,Main Block,First,Computer Lab 201,Fans,0.198,0.198
2026-09-03 17:26:48,Main Block,First,Computer Lab 201,Server Units,3.944,3.944
2026-09-03 17:26:48,Research Wing,Ground,AI Research Lab,AC,5.133,5.133
2026-09-03 17:26:48,Research Wing,Ground,AI Research Lab,Computers,2.025,2.025
2026-09-03 17:26:48,Research Wing,Ground,AI Research Lab,Lights,0.26,0.26
2026-09-03 17:26:48,Research Wing,Ground,AI Research Lab,Fans,0.195,0.195
2026-09-03 17:26:48,Research Wing,Ground,AI Research Lab,Server Units,3.948,3.948
2026-09-03 17:26:48,Research Wing,Ground,Server Room,AC,3.933,3.933
2026-09-03 17:26:48,Research Wing,Ground,Server Room,Computers,2.057,2.057
2026-09-03 17:26:48,Research Wing,Ground,Server Room,Lights,0.276,0.276
2026-09-03 17:26:48,Research Wing,Ground,Server Room,Fans,0.218,0.218
2026-09-03 17:26:48,Research Wing,Ground,Server Room,Server Units,4.525,4.525
2026-09-03 18:26:48,Main Block,Ground,Lab 101,AC,4.391,4.391
2026-09-03 18:26:48,Main Block,Ground,Lab 101,Computers,2.014,2.014
2026-09-03 18:26:48,Main Block,Ground,Lab 101,Lights,0.273,0.273
2026-09-03 18:26:48,Main Block,Ground,Lab 101,Fans,0.18,0.18
2026-09-03 18:26:48,Main Block,Ground,Lab 101,Server Units,4.627,4.627
2026-09-03 18:26:48,Main Block,First,Computer Lab 201,AC,4.252,4.252
2026-09-03 18:26:48,Main Block,First,Computer Lab 201,Computers,1.744,1.744
2026-09-03 18:26:48,Main Block,First,Computer Lab 201,Lights,0.345,0.345
2026-09-03 18:26:48,Main Block,First,Computer Lab 201,Fans,0.17,0.17
2026-09-03 18:26:48,Main Block,First,Computer Lab 201,Server Units,4.09,4.09
2026-09-03 18:26:48,Research Wing,Ground,AI Research Lab,AC,5.014,5.014
