timestamp,building,room,equipment,actual_power_kw,expected_power_kw,anomaly_status,anomaly_score
2026-09-03 12:26:48,Main Block,Computer Lab 201,Server Units,14.425,4.415,ANOMALY,-0.7045
2026-09-03 18:26:48,Research Wing,AI Research Lab,Server Units,13.81,4.425,ANOMALY,-0.7076
2026-09-03 19:26:48,Research Wing,AI Research Lab,Server Units,12.914,4.425,ANOMALY,-0.7065
2026-09-04 00:26:48,Main Block,Lab 101,Server Units,4.791,4.434,ANOMALY,-0.6213
2026-09-04 00:26:48,Main Block,Computer Lab 201,Server Units,4.82,4.415,ANOMALY,-0.6221
2026-09-04 00:26:48,Research Wing,AI Research Lab,Server Units,4.063,4.425,ANOMALY,-0.6202
2026-09-04 00:26:48,Research Wing,Server Room,Server Units,3.997,4.396,ANOMALY,-0.6216
2026-09-04 18:26:48,Research Wing,AI Research Lab,AC,13.893,0.25,ANOMALY,-0.7076
2026-09-04 23:26:48,Main Block,Lab 101,Server Units,12.566,4.434,ANOMALY,-0.7285
2026-09-05 00:26:48,Main Block,Lab 101,Server Units,4.323,4.434,ANOMALY,-0.6492
2026-09-05 00:26:48,Main Block,Computer Lab 201,Server Units,4.636,4.415,ANOMALY,-0.6491
2026-09-05 00:26:48,Research Wing,AI Research Lab,Server Units,3.75,4.425,ANOMALY,-0.6515
2026-09-05 00:26:48,Research Wing,Server Room,Server Units,3.75,4.396,ANOMALY,-0.6515
2026-09-05 01:26:48,Main Block,Lab 101,Server Units,4.84,4.434,ANOMALY,-0.6434
2026-09-05 01:26:48,Main Block,Computer Lab 201,Server Units,4.956,4.415,ANOMALY,-0.6555
2026-09-05 01:26:48,Research Wing,AI Research Lab,Server Units,11.676,4.425,ANOMALY,-0.7315
2026-09-05 01:26:48,Research Wing,Server Room,Server Units,4.954,4.396,ANOMALY,-0.6555
2026-09-05 02:26:48,Main Block,Lab 101,Server Units,4.262,4.434,ANOMALY,-0.6286
2026-09-05 02:26:48,Main Block,Computer Lab 201,Server Units,3.891,4.415,ANOMALY,-0.6323
2026-09-05 02:26:48,Research Wing,AI Research Lab,Server Units,4.816,4.425,ANOMALY,-0.6387
2026-09-05 02:26:48,Research Wing,Server Room,Server Units,4.605,4.396,ANOMALY,-0.6312
2026-09-05 03:26:48,Main Block,Lab 101,Server Units,4.333,4.434,ANOMALY,-0.6206
2026-09-05 03:26:48,Main Block,Computer Lab 201,Server Units,4.568,4.415,ANOMALY,-0.6226
2026-09-05 03:26:48,Research Wing,AI Research Lab,Server Units,3.814,4.425,ANOMALY,-0.6195
2026-09-05 03:26:48,Research Wing,Server Room,Server Units,3.841,4.396,ANOMALY,-0.62
2026-09-05 06:26:48,Research Wing,AI Research Lab,Server Units,4.991,4.425,ANOMALY,-0.6161
2026-09-05 15:26:48,Research Wing,Server Room,Computers,5.655,0.08,ANOMALY,-0.6195
2026-09-05 18:26:48,Main Block,Lab 101,AC,5.068,0.25,ANOMALY,-0.6125
2026-09-05 18:26:48,Research Wing,Server Room,AC,5.085,0.25,ANOMALY,-0.6129
2026-09-05 19:26:48,Research Wing,Server Room,Server Units,14.272,4.396,ANOMALY,-0.7209
2026-09-05 20:26:48,Main Block,Computer Lab 201,Server Units,4.938,4.415,ANOMALY,-0.6167
2026-09-05 20:26:48,Research Wing,AI Research Lab,Server Units,4.945,4.425,ANOMALY,-0.6184
2026-09-05 21:26:48,Main Block,Lab 101,Server Units,3.752,4.434,ANOMALY,-0.6183
2026-09-05 21:26:48,Main Block,Computer Lab 201,Server Units,4.457,4.415,ANOMALY,-0.611
2026-09-05 21:26:48,Research Wing,AI Research Lab,Server Units,3.889,4.425,ANOMALY,-0.6124
